latitude,longitude,altura,speed
-3.092461,-60.018522,46.8,5.35
-3.092449,-60.018434,51.7,3.8
-3.09244,-60.018407,55.4,2.91
-3.092431,-60.018411,57.5,0.28
-3.092423,-60.018419,59.4,1.43
-3.092418,-60.018443,61.8,1.06
-3.092418,-60.018445,63.0,0.57
-3.092421,-60.018442,62.8,0.74
-3.092423,-60.018438,61.9,1.89
-3.092424,-60.018462,64.2,0.35
-3.092422,-60.018473,65.5,0.52
-3.092417,-60.018495,67.9,0.39
-3.092415,-60.018499,69.0,0.76
-3.092417,-60.018505,72.5,0.28
-3.092418,-60.018508,73.4,0.22
-3.092417,-60.018535,79.4,0.26
-3.092418,-60.018537,79.9,0.26
-3.092418,-60.018538,80.3,0.15
-3.092418,-60.01854,80.7,0.35
-3.092416,-60.018544,82.0,0.19
-3.092416,-60.018544,82.5,0.3
-3.092415,-60.018548,83.4,0.19
-3.092416,-60.018553,85.4,0.87
-3.09242,-60.018559,87.2,1.57
-3.09242,-60.018566,87.8,1.91
-3.092421,-60.018568,88.4,1.57
-3.092422,-60.018568,88.8,1.04
-3.092422,-60.018577,89.3,1.26
-3.092424,-60.018576,89.1,1.26
-3.09242,-60.018575,89.4,0.19
-3.092418,-60.018571,89.2,0.46
-3.092415,-60.018572,88.3,0.33
-3.092414,-60.018572,87.8,0.13
-3.092414,-60.018572,87.2,0.04
-3.092414,-60.018571,86.6,0.07
-3.092415,-60.018571,85.1,0.26
-3.092417,-60.018571,84.0,0.28
-3.09242,-60.018566,81.8,0.28
-3.092422,-60.018563,80.3,0.22
-3.092423,-60.018555,77.5,0.5
-3.092425,-60.01855,76.1,0.52
-3.092428,-60.01855,75.0,0.41
-3.092429,-60.018546,74.7,0.54
-3.09244,-60.018538,70.1,0.48
-3.092442,-60.018536,69.6,0.3
-3.09245,-60.018522,66.6,0.22
-3.092452,-60.018517,65.5,0.2
-3.092455,-60.018498,61.8,0.31
-3.092455,-60.018493,61.1,0.19
-3.092453,-60.018475,59.7,0.17
-3.09245,-60.018469,60.5,0.43
-3.092448,-60.01847,61.1,0.48
-3.092446,-60.018471,61.2,0.7
-3.092445,-60.018478,59.9,0.33
-3.092443,-60.018476,60.0,0.2
-3.092442,-60.01848,59.9,0.26
-3.092442,-60.018484,59.1,0.13
-3.092443,-60.018502,56.7,0.78
-3.092443,-60.018509,55.7,0.59
-3.092443,-60.018514,54.9,0.59
-3.092442,-60.01852,54.2,0.67
-3.092442,-60.018532,52.4,1.0
-3.092443,-60.018532,51.9,0.85
-3.09244,-60.018533,52.0,0.63
-3.09244,-60.018537,51.2,0.7
-3.092436,-60.018538,50.5,0.43
-3.092437,-60.018541,49.4,0.3
-3.092436,-60.018543,49.0,0.37
-3.092437,-60.018536,48.3,0.33
-3.092436,-60.018533,47.7,0.06
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.092435,-60.018532,47.3,0.22
-3.09251,-60.017678,-67.8,1.94
-3.09245,-60.017884,-41.4,0.54
-3.092411,-60.018099,-6.7,1.46
-3.092404,-60.018191,7.8,1.5
